Booking Date,Origin,Destination,Departure Date,Departure Day,Arrival Date,Arrival Day,Trip Duration,Price,Airline,stops - outbound,stops - return,duration - inbound,duration - return,Origin_Holiday_Season,Origin_Peak_Season,Dest_Holiday_Season,Dest_Peak_Season,On_Holiday,On_Peak,Unnamed: 20
2025-03-04,YVR,CDG,2025-03-12,Wednesday,2025-03-15,Saturday,3,2370.0,Air France,direct,direct,11h 45m,12h 10m,No,No,No,No,No,No,8.0
2025-03-04,YVR,CDG,2025-03-12,Wednesday,2025-03-17,Monday,5,2115.0,Air France,direct,direct,11h 45m,12h 10m,No,No,No,No,No,No,8.0
2025-03-04,YVR,CDG,2025-03-12,Wednesday,2025-03-19,Wednesday,7,1760.0,Air France,direct,direct,9h 25m,10h 00m,No,No,No,No,No,No,8.0
2025-03-04,YVR,CDG,2025-03-12,Wednesday,2025-03-22,Saturday,10,1742.0,Air France,direct,direct,9h 25m,10h 00m,No,No,No,No,No,No,8.0
2025-03-04,YVR,CDG,2025-03-12,Wednesday,2025-03-26,Wednesday,14,2146.0,Air France,direct,direct,9h 25m,10h 00m,No,No,No,No,No,No,8.0
2025-03-04,YVR,CDG,2025-03-12,Wednesday,2025-04-11,Friday,30,1864.0,Air France,direct,direct,9h 25m,9h 50m,No,No,No,No,No,No,8.0
2025-03-04,YVR,CDG,2025-03-19,Wednesday,2025-03-22,Saturday,3,1280.0,WestJet,1 stop,1 stop,11h 45m,13h 10m,No,No,No,No,No,No,15.0
2025-03-04,YVR,CDG,2025-03-19,Wednesday,2025-03-24,Monday,5,1750.0,Air France,direct,direct,9h 25m,10h 00m,No,No,No,No,No,No,15.0
2025-03-04,YVR,CDG,2025-03-19,Wednesday,2025-03-26,Wednesday,7,2045.0,Air France,direct,direct,9h 25m,10h 00m,No,No,No,No,No,No,15.0
2025-03-04,YVR,CDG,2025-03-19,Wednesday,2025-03-29,Saturday,10,2239.0,Air France,direct,direct,9h 25m,9h 55m,No,No,No,No,No,No,15.0
2025-03-04,YVR,CDG,2025-03-19,Wednesday,2025-04-02,Wednesday,14,1449.0,Air France,direct,direct,9h 25m,9h 50m,No,No,No,No,No,No,15.0
2025-03-04,YVR,CDG,2025-03-19,Wednesday,2025-04-18,Friday,30,1613.0,Air France,direct,direct,9h 25m,9h 50m,No,No,No,No,No,No,15.0
2025-03-04,YVR,CDG,2025-03-26,Wednesday,2025-03-29,Saturday,3,2670.0,Air France,direct,direct,9h 25m,9h 55m,No,No,No,No,No,No,22.0
2025-03-04,YVR,CDG,2025-03-26,Wednesday,2025-03-31,Monday,5,995.0,Air France • Operated by WestJet,direct,1 stop,9h 25m,15h 17m,No,No,No,No,No,No,22.0
2025-03-04,YVR,CDG,2025-03-26,Wednesday,2025-04-02,Wednesday,7,1176.0,Air France,direct,direct,9h 25m,9h 50m,No,No,No,No,No,No,22.0
2025-03-04,YVR,CDG,2025-03-26,Wednesday,2025-04-05,Saturday,10,1137.0,Air France • Operated by WestJet,direct,1 stop,9h 25m,15h 27m,No,No,No,No,No,No,22.0
2025-03-04,YVR,CDG,2025-03-26,Wednesday,2025-04-09,Wednesday,14,1155.0,Air France,direct,direct,9h 25m,9h 50m,No,No,No,No,No,No,22.0
2025-03-04,YVR,CDG,2025-03-26,Wednesday,2025-04-25,Friday,30,945.0,Air France,direct,direct,9h 25m,9h 50m,No,No,No,No,No,No,22.0
2025-03-04,YVR,CDG,2025-04-02,Wednesday,2025-04-05,Saturday,3,2304.0,"Air France, KLM • Operated by Air France",direct,1 stop,12h 10m,14h 45m,No,No,No,No,No,No,29.0
2025-03-04,YVR,CDG,2025-04-02,Wednesday,2025-04-07,Monday,5,1064.0,WestJet,1 stop,1 stop,9h 30m,15h 17m,No,No,No,No,No,No,29.0
2025-03-04,YVR,CDG,2025-04-02,Wednesday,2025-04-09,Wednesday,7,1173.0,Air France,direct,direct,9h 30m,9h 50m,No,No,No,No,No,No,29.0
2025-03-04,YVR,CDG,2025-04-02,Wednesday,2025-04-16,Wednesday,14,1041.0,Air France,direct,direct,9h 30m,9h 50m,No,No,No,No,No,No,29.0
2025-03-04,YVR,CDG,2025-04-02,Wednesday,2025-05-02,Friday,30,1185.0,Air France,direct,direct,9h 30m,9h 50m,No,No,No,No,No,No,29.0
